index,path,text_detected,action,review_status,notes
103,textures/load/spr_sprani_selector_cvt_Exst/590A4724_512x512.dds,maybe,zoom_review,visual_reviewed,
104,textures/load/spr_sprani_selector_cvt_Exst/62BEBF33_512x64.dds,yes,localize_text,visual_reviewed,
105,textures/load/spr_sprani_selector_cvt_Exst/710CF7E0_256x64.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
106,textures/load/spr_sprani_selector_cvt_Exst/788CE557_512x256.dds,yes,localize_text,visual_reviewed,
107,textures/load/spr_sprani_selector_cvt_Exst/841E796B_512x128.dds,yes,localize_text,visual_reviewed,
108,textures/load/spr_sprani_selector_cvt_Exst/8D302CA6_128x64.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
109,textures/load/spr_sprani_selector_cvt_Exst/A4326596_128x64.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
110,textures/load/spr_sprani_selector_cvt_Exst/AEE85898_256x64.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
111,textures/load/spr_sprani_selector_cvt_Exst/C075FB49_512x512.dds,yes,localize_text,visual_reviewed,
112,textures/load/spr_sprani_selector_cvt_Exst/D41D0B1_512x64.dds,yes,localize_text,visual_reviewed,
113,textures/load/spr_sprani_selector_cvt_Exst/D46BEC10_256x64.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
114,textures/load/spr_sprani_selector_cvt_Exst/DD5134F9_256x64.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
115,textures/load/spr_sprani_selector_cvt_Exst/E31BB4C3_128x512.dds,no,no_localization,visual_reviewed,
116,textures/load/spr_sprani_selector_cvt_Exst/E3FD08BE_512x64.dds,yes,localize_text,visual_reviewed,
117,textures/load/spr_sprani_selector_cvt_Exst/F0EA5CFA_512x64.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
118,textures/load/spr_sprani_selector_cvt_Exst/F3E86087_256x64.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
119,textures/load/spr_sprani_selector_cvt_Exst/F6811E94_512x64.dds,yes,localize_text,visual_reviewed,
120,textures/load/spr_sprani_selector_cvt_Exst/FD5FE04B_256x64.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
121,textures/load/spr_sprani_selector_cvt_Exst/FD90AA9_1024x1024.dds,yes,localize_text,visual_reviewed,
122,textures/load/spr_sprani_splash_cvt_xst/549D375_512x256.dds,yes,localize_text,visual_reviewed,
123,textures/load/spr_sprani_splash_cvt_xst/5E9B06_256x64.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
124,textures/load/spr_sprani_staffroll_cvt_xst/5A215D6E_1024x256.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
125,textures/load/spr_sprani_staffroll_cvt_xst/BD39D0F4_1024x1024.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
126,textures/load/spr_sprani_staffroll_cvt_xst/CB1E842D_1024x1024.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
127,textures/load/spr_sprani_sumo_fe_cvt_Exst/110F30F6_1024x256.dds,no,no_localization,visual_reviewed,
128,textures/load/spr_sprani_sumo_fe_cvt_Exst/12519155_256x256.dds,yes,localize_text,visual_reviewed,
129,textures/load/spr_sprani_sumo_fe_cvt_Exst/13D562F8_1024x512.dds,no,no_localization,visual_reviewed,
130,textures/load/spr_sprani_sumo_fe_cvt_Exst/1762489B_512x128.dds,yes,localize_text,visual_reviewed,
131,textures/load/spr_sprani_sumo_fe_cvt_Exst/18BC9B28_256x256.dds,no,no_localization,visual_reviewed,
132,textures/load/spr_sprani_sumo_fe_cvt_Exst/1F5FE6E9_1024x512.dds,yes,localize_text,visual_reviewed,
133,textures/load/spr_sprani_sumo_fe_cvt_Exst/25F697C6_512x512.dds,yes,localize_text,visual_reviewed,
134,textures/load/spr_sprani_sumo_fe_cvt_Exst/271587D3_512x256.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
135,textures/load/spr_sprani_sumo_fe_cvt_Exst/2B0863D6_512x64.dds,yes,localize_text,visual_reviewed,
136,textures/load/spr_sprani_sumo_fe_cvt_Exst/2B785F6A_512x512.dds,maybe,zoom_review,visual_reviewed,
137,textures/load/spr_sprani_sumo_fe_cvt_Exst/30CF0D_512x256.dds,yes,localize_text,visual_reviewed,
138,textures/load/spr_sprani_sumo_fe_cvt_Exst/30F6DAD5_512x512.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
139,textures/load/spr_sprani_sumo_fe_cvt_Exst/313DB8CB_512x256.dds,yes,localize_text,visual_reviewed,
140,textures/load/spr_sprani_sumo_fe_cvt_Exst/31C58963_512x256.dds,yes,localize_text,visual_reviewed,
141,textures/load/spr_sprani_sumo_fe_cvt_Exst/320F610B_64x32.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
142,textures/load/spr_sprani_sumo_fe_cvt_Exst/32D5B6B3_32x32.dds,no,no_localization,visual_reviewed,
143,textures/load/spr_sprani_sumo_fe_cvt_Exst/34923C8A_512x128.dds,yes,localize_text,visual_reviewed,
144,textures/load/spr_sprani_sumo_fe_cvt_Exst/35361191_512x512.dds,maybe,zoom_review,visual_reviewed,
145,textures/load/spr_sprani_sumo_fe_cvt_Exst/37D54CA4_512x512.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
146,textures/load/spr_sprani_sumo_fe_cvt_Exst/39018963_512x256.dds,maybe,zoom_review,visual_reviewed,
147,textures/load/spr_sprani_sumo_fe_cvt_Exst/39BCA907_512x256.dds,yes,localize_text,visual_reviewed,
148,textures/load/spr_sprani_sumo_fe_cvt_Exst/3AE1BB60_256x256.dds,maybe,zoom_review,visual_reviewed,
149,textures/load/spr_sprani_sumo_fe_cvt_Exst/3FF19FF7_512x128.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
150,textures/load/spr_sprani_sumo_fe_cvt_Exst/40A4D914_256x128.dds,maybe,zoom_review,visual_reviewed,
151,textures/load/spr_sprani_sumo_fe_cvt_Exst/4668C688_512x512.dds,maybe,zoom_review,visual_reviewed,
152,textures/load/spr_sprani_sumo_fe_cvt_Exst/49BB5FE5_128x32.dds,yes,localize_text,visual_reviewed,
153,textures/load/spr_sprani_sumo_fe_cvt_Exst/4C972A19_512x512.dds,maybe,zoom_review,visual_reviewed,
154,textures/load/spr_sprani_sumo_fe_cvt_Exst/4D38BBB0_1024x256.dds,yes,localize_text,visual_reviewed,
